일자,중식계,석식계
2021-01-27,973,383
2021-01-28,1011,438
2021-01-29,629,285
2021-02-01,1175,480
2021-02-02,1023,449
2021-02-03,987,431
2021-02-04,1048,462
2021-02-05,669,411
2021-02-08,1201,571
2021-02-09,982,439
2021-02-10,657,278
2021-02-15,1257,645
2021-02-16,1066,591
2021-02-17,1026,178
2021-02-18,899,478
2021-02-19,646,346
2021-02-22,1183,590
2021-02-23,1082,594
2021-02-24,812,403
2021-02-25,902,455
2021-02-26,615,301
2021-03-02,1217,628
2021-03-03,1011,406
2021-03-04,1016,515
2021-03-05,687,310
2021-03-08,1233,620
2021-03-09,1053,612
2021-03-10,982,391
2021-03-11,951,464
2021-03-12,690,284
2021-03-15,1225,636
2021-03-16,1034,545
2021-03-17,988,403
2021-03-18,956,411
2021-03-19,608,312
2021-03-22,1183,564
2021-03-23,1067,549
2021-03-24,832,371
2021-03-25,848,407
2021-03-26,621,311
2021-03-29,1131,575
2021-03-30,992,554
2021-03-31,951,402
2021-04-01,845,408
2021-04-02,594,303
2021-04-05,1168,560
2021-04-06,1080,559
2021-04-07,947,139
2021-04-08,960,434
2021-04-09,0,0
