index,topic_idx
45654,3
45655,3
45656,3
45657,3
45658,3
45659,3
45660,3
45661,3
45662,3
45663,3
45664,3
45665,3
45666,3
45667,3
45668,3
45669,3
45670,3
45671,3
45672,3
45673,3
45674,3
45675,3
45676,3
45677,3
45678,3
45679,3
45680,3
45681,3
45682,3
45683,3
45684,3
45685,3
45686,3
45687,3
45688,3
45689,3
45690,3
45691,3
45692,3
45693,3
45694,3
45695,3
45696,3
45697,3
45698,3
45699,3
45700,3
45701,3
45702,3
45703,3
45704,3
45705,3
45706,3
45707,3
45708,3
45709,3
45710,3
45711,3
45712,3
45713,3
45714,3
45715,3
45716,3
45717,3
45718,3
45719,3
45720,3
45721,3
45722,3
45723,3
45724,3
45725,3
45726,3
45727,3
45728,3
45729,3
45730,3
45731,3
45732,3
45733,3
45734,3
45735,3
45736,3
45737,3
45738,3
45739,3
45740,3
45741,3
45742,3
45743,3
45744,3
45745,3
45746,3
45747,3
45748,3
45749,3
45750,3
45751,3
45752,3
45753,3
45754,3
45755,3
45756,3
45757,3
45758,3
45759,3
45760,3
45761,3
45762,3
45763,3
45764,3
45765,3
45766,3
45767,3
45768,3
45769,3
45770,3
45771,3
45772,3
45773,3
45774,3
45775,3
45776,3
45777,3
45778,3
45779,3
45780,3
45781,3
45782,3
45783,3
45784,3
45785,3
45786,3
45787,3
45788,3
45789,3
45790,3
45791,3
45792,3
45793,3
45794,3
45795,3
45796,3
45797,3
45798,3
45799,3
45800,3
45801,3
45802,3
45803,3
45804,3
45805,3
45806,3
45807,3
45808,3
45809,3
45810,3
45811,3
45812,3
45813,3
45814,3
45815,3
45816,3
45817,3
45818,3
45819,3
45820,3
45821,3
45822,3
45823,3
45824,3
45825,3
45826,3
45827,3
45828,3
45829,3
45830,3
45831,3
45832,3
45833,3
45834,3
45835,3
45836,3
45837,3
45838,3
45839,3
45840,3
45841,3
45842,3
45843,3
45844,3
45845,3
45846,3
45847,3
45848,3
45849,3
45850,3
45851,3
45852,3
45853,3
45854,3
45855,3
45856,3
45857,3
45858,3
45859,3
45860,3
45861,3
45862,3
45863,3
45864,3
